,condition,created_at,id,max_quantity,merchant_return_insurance,min_quantity,name,price,rush_delivery,sku_id,state,stock,weight,category_url,rating_average_rate,rating_user_count,sla_type,sla_value,stats_interest_count,stats_sold_count,stats_view_count,stats_waiting_payment_count,store_address_city,store_address_province,store_brand_seller,store_delivery_time,store_id,store_description,store_level_name,store_name,store_premium_level,store_premium_top_seller,store_rejection_recent_transactions,store_rejection_rejected,store_reviews_negative,store_reviews_positive,store_sla_type,store_sla_value,store_subscriber_amount,store_url,warranty_cheapest,deal_applied_date,deal_discount_price,deal_expired_date,deal_original_price,deal_percentage,url,timestamp
39,Baru,2021-10-01 09:25:53,4gl2apg,2147483647,False,1,HPAI COFFEE HERBAL NON CAFEIN,105000,False,9786431605,available,1530,900,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,202,,0,0,507,0,2.0,Bekasi,Jawa Barat,False,13 jam,1743037,"PUSAT AGEN HPAI
Produk herbal yang kami tawarkan adalah produk-produk berkualitas, Karena Semua Produk Herbal yang kami Jual telah Lulus uji dari Badan Pengawas Obat dan Makanan RI, # Sebutkan ID Member Agar Point Bonus bisa diinput.
# Menerima Reseller dan Dropshipper secara gratis.",Trusted Seller,Pusat Agen HPAI,platinum,True,100,0,203,50425,custom,3,931,https://www.bukalapak.com/u/hpai,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gl2apg-jual-hpai-coffee-herbal-non-cafein,2022-06-19
40,Baru,2022-01-24 10:05:05,4h0ibfa,2147483647,False,1,Kopi Arabika Flores Bajawa 200 Gram - BUBUK BIJI - Premium Arabica Coffee,58000,False,9825357406,available,4855,210,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,200,,0,1,485,0,0.0,Bandung,Jawa Barat,False,19 jam,46745987,"Fresh Coffee from Roastery! Produk kopi terbaik dari Coffee Roaster kami. Kita bukan pabrik, kita home coffee roaster yang sudah lama bergerak di bidang kopi. Sehingga sangat mendetail mengenai kualitas kopi.Berbagai kopi dari berbagai daerah Indonesia. 
Dijamin single origin asli! tanpa oplos-oplosan.",Juragan,Sentra Kopi,platinum,False,100,8,12,4493,normal,2,98,https://www.bukalapak.com/u/sentrakopi,False,2022-02-20 17:00:00,58000,2022-12-31 16:59:59,65000,11,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h0ibfa-jual-kopi-arabika-flores-bajawa-200-gram-bubuk-biji-premium-arabica-coffee,2022-06-19
41,Baru,2021-11-18 15:33:50,4gt5qga,2147483647,False,1,TOP Kopi Susu 3in1 1renceng 12sachet,10600,False,9806495509,available,648,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,122,,0,0,470,0,3.0,Jakarta Utara,DKI Jakarta,False,20 jam,6963855,,Recommended Seller,Toko Baru 227,platinum,True,100,0,111,28561,normal,2,103,https://www.bukalapak.com/u/black_stone27,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gt5qga-jual-top-kopi-susu-3in1-1renceng-12sachet,2022-06-19
42,Baru,2022-02-22 08:34:34,4h323ds,2147483647,False,1,Kapal Api Special Mix 25gr x 10 x 12 Dus,135000,False,9832589488,available,100,3500,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,3,,0,0,468,0,0.0,Tangerang Selatan,Banten,False,18 jam,61670569,TOKO GROSIR SEMBAKO,Juragan,LEGOSO,platinum,False,100,6,259,2933,normal,2,66,https://www.bukalapak.com/u/abeng92,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h323ds-jual-kapal-api-special-mix-25gr-x-10-x-12-dus,2022-06-19
43,Baru,2021-11-18 15:33:51,4gt5qgm,2147483647,False,1,Kopi TOP White Coffee 1renceng 12sachet,10700,False,9806495536,available,939,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,162,,0,0,447,0,0.0,Jakarta Utara,DKI Jakarta,False,20 jam,6963855,,Recommended Seller,Toko Baru 227,platinum,True,100,0,111,28561,normal,2,103,https://www.bukalapak.com/u/black_stone27,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gt5qgm-jual-kopi-top-white-coffee-1renceng-12sachet,2022-06-19
44,Baru,2021-10-27 07:51:47,4gpfot7,2147483647,False,1,Kopi Bubuk Robusta Lampung BRAZICA Kualitas Ekonomis 500 gram,32000,False,9797077435,available,2900,550,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.8,90,,0,0,422,0,0.0,Jakarta Barat,DKI Jakarta,False,9 jam,31053171,"Kopi enak dan berkualitas tidak harus MAHAL. Kopi Brazica Tercipta Aroma Lebih Sempurna Kopi enak, Aroma mantap, Rasa nikmat. Kopi asli 100% tanpa campuran. Buktikan Sendiri !!! Spesialis kopi robusta lampung. Brazica merupakan merek dagang yang terdaftar",Juragan,Brazica,platinum,True,100,1,0,3848,normal,2,77,https://www.bukalapak.com/u/brazica,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gpfot7-jual-kopi-bubuk-robusta-lampung-brazica-kualitas-ekonomis-500-gram,2022-06-19
45,Baru,2021-12-03 08:51:28,4guypiv,2147483647,False,1,Torabika Gilus Mix - Kopi Instant Isi 10 Sachet - ALL VARIANT,8900,True,9811025257,available,13,350,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,45,,0,0,402,0,0.0,Jakarta Barat,DKI Jakarta,False,19 jam,83878288,"Jam Operasional Toko :
Senin - Jumat = 08.00 - 17.00
Sabtu- Minggu = 08.00 - 14.00
Hari Besar = Libur
Cut Off Gosend ( Sameday ) = 14.30
Cut Off Gosend ( Instan Courier ) = 16.30

untuk pembelian diatas quantity bisa menghubungi kami langsung
WA : 6281283328899",Good Seller,Unik Jaya Shop,platinum,False,100,10,76,6319,normal,2,16,https://www.bukalapak.com/u/susisiulie,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4guypiv-jual-torabika-gilus-mix-kopi-instant-isi-10-sachet-all-variant,2022-06-19
46,Baru,2022-03-18 03:55:54,4h52b47,2147483647,False,1,Kopi Bubuk Cap Kingkong original 450gr,39000,False,9838337794,available,18,400,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,88,,0,0,395,0,0.0,Pangkal Pinang,Kepulauan Bangka Belitung,False,6 jam,26857628,"Berdiri sejak 1981, Toko LCK adalah produsen dan toko retail untuk oleh-oleh dan makanan khas Bangka terbesar di kota Pangkalpinang.",Good Seller,Toko LCK,platinum,True,100,2,14,8000,normal,2,42,https://www.bukalapak.com/u/tokolck,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h52b47-jual-kopi-bubuk-cap-kingkong-original-450gr,2022-06-19
47,Baru,2022-02-21 10:16:13,4h2z6nm,2147483647,False,1,Kapal Api Special Merah 380 Gr,25160,True,9832360750,available,319,380,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,90,,0,0,392,0,0.0,Tangerang,Banten,True,2 jam,580415954,Hypermart Cyberpark Karawaci Official Store,Good Seller,Hypermart Cyberpark Karawaci,platinum,True,36,0,16,6250,normal,2,47,https://www.bukalapak.com/u/hypermart_cyberpark_kar_620297,False,2022-06-18 17:00:00,25160,2022-06-19 16:59:59,28060,10,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h2z6nm-jual-kapal-api-special-merah-380-gr,2022-06-19
48,Baru,2021-11-18 15:34:23,4gt5qug,2147483647,False,1,Indocafe Coffeemix Mild 10sachet,12700,False,9806496322,available,520,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,134,,0,1,375,0,0.0,Jakarta Utara,DKI Jakarta,False,20 jam,6963855,,Recommended Seller,Toko Baru 227,platinum,True,100,0,111,28561,normal,2,103,https://www.bukalapak.com/u/black_stone27,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gt5qug-jual-indocafe-coffeemix-mild-10sachet,2022-06-19
